Dimensión,Indicador,Nombre,Pregunta,Contexto válido,Variantes encontradas,Número variantes encontradas,Total variantes,Páginas,Contexto extracto,Palabras
AMBIENTAL,Emisiones GEI (GRI 305 -1/2/3),Emisiones GEI,¿Cuál fue la variación o reducción de emisiones de gases de efecto invernadero respecto al año anterior?,Sí,"emisiones, co², alcance 1, alcance 2",4,10,"101, 126, 128, 132, 133, 249","• 131 2015 2016 2017 2018 2019 2020 co² emisiones directas (alcance 1) 18.897 17.534 16.814 15.025 12.036 12.689 co² emisiones indirectas (alcance 2) 35.463 36.436 36.153 35.499 18.530 15.317 co² totales -toneladas- 54.360 53.970 52.967 50.524 30.566 28.006 la compañía acordó con dos aliados la compra de certificados de energía renovable hasta 2021, los cuales garantizaron el origen ambientalmente responsable del 58% del total de la...",67
AMBIENTAL,Reducción de consumo energético (GRI 302-4),Reducción consumo energético,¿Cuál fue la reduccion del consumo energetico apara el año 2020,Sí,"energía, kwh",2,3,129,"a implementación de proyecto de energías alternativas y más limpias. en 2020, gracias a las iniciativas de eficiencia energética y disminución de combustible se lograron ahorrar cerca de cop 5.000 millones. algunas iniciativas para destacar son: zapagado de plataformas y equipos asociados a generaciones tecnológicas anteriores (2g) que permitieron eficiencias por más de 7 millones de kwh/año. zexpansión y modernización equipos de fuerza (rectificadores), aumentando su nivel de eficiencia y alcanzando una disminución de consumo de energía de 125 mil kwh/año. zimplementación de sistemas fotovoltaicos en centrales técnicas con potencial de alto consumo eléctrico: delicias en barranquilla, toberín en bogotá y buitrera en cali, los cuales generaron energía solar por 98.37...",111
AMBIENTAL,Consumo de agua (GRI 303-1),Consumo de agua,¿Cuál fue la reduccion del consumo de agua para el año 2020,Sí,"agua, m3",2,2,135,"agua (gri 303-5) si bien el consumo de agua de la operación de telefónica movistar es bajo y guarda relación principalmente con el uso sanitario, y en menor medida con los sistemas de climatización de equipos, se ha implementado una estrategia de consumo responsable que busca eficiencias y la reducción del consumo de este recurso. en 2020, el consumo de agua en la compañía fue de 115.903 m3, lo que representa una reducción del 30,7% con respecto a 2019. esta reducción se debe, entre otras cosas a que en el marco de la pandemia la organización emitió la política de trabajo desde casa para los colaboradores, por lo cual la asistencia a las sedes se redujo. ahora bien, este resultado también se debe a las acciones emprendidas por el área administrativa en la detección y contr...",136
AMBIENTAL,Gestión de residuos (GRI 306-1),Gestión de residuos,¿Cuál fue la reduccion de los residuos para el año 2020,Sí,"residuos, reciclaje, aprovechamiento, reutilización",4,10,134,"informe gestión responsable 2020 • 132si bien la gestión de los residuos depende de la autorización generada en las licencias ambientales de los gestores que la apoyan, la compañía tiene una cadena de prioridad de manejo de residuos, donde el primer tratamiento debe estar enfocado en la reutilización, reciclaje o aprovechamiento de los mismos. en los casos en los cuales por acceso a la zona, tipología o características de los residuos no se pueda implementar esta medida, se optará por la utilización de los métodos de depósito en celda de seguridad y/o vertederos e incineración. gracias a esto, se han identificado y evaluado las empresas (gestores) que cumplen con todos los requerimi...",112
SOCIAL,Empleo (GRI 401-1),Empleo,"¿Cuál es la tasa de rotacion, Que cantidad hubo de nuevos trabajadores, Tasa de contratacion",Sí,"nuevas, contrataciones",2,8,"20, 39, 94, 105, 191, 192, 193, 248","• 103número total y la tasa de nuevas contrataciones de empleados durante 2020, por grupo de edad, sexo y región (gri 401-1) menos de 30 entre 30 y 50 más de 50 total admin. central 34 21,12% 28 17,39% 2 1,24% 64 39,75% bogotá 35 19,89% 50 28,41% 2 1,14% 87 49,43% caribe 14 26,92% 11 21,15% 1 1,92% 26 50,00% noroccidente 21 28,38% 18 24,32% 0 0,00% 39 52,70% oriente 15 30,00% 11 22,00% 0 0,00% 26 52,00% sur 10 16,39% 15 24,59% 0 0,00% 25 40,98% t...",89
SOCIAL,Seguridad y salud (GRI 403-9),Seguridad y salud,¿Cuál es la tasa de accidentalidad y tienen normas de seguridad y salud en el trabajo SST,Sí,"seguridad, sst, iso 45001",3,5,"22, 122","informe gestión responsable 2020 • 20 certificaciones la compañía finalizó con éxito la certificación internacional de los sistemas de gestión integrado, por parte del ente certificador aenor: • sistema de gestión ambiental (sga) – iso 14001 • sistema de gestión de calidad (sgc) – iso 9001 • seguridad salud en el trabajo (sgsst) – iso 45001 • seguridad de la información (sgsi) – iso 27001 se incluyó la ampliación del alcance para calidad de los procesos de aprovisionamiento, operación y mantenimiento de servicios digitales y data center. adicionalmente, la compañía es gold membership de microsoft y tiene cuatro certificaciones de microsoft azure (2 azure administrator, azure architect technoolgies y azure arc...",111
SOCIAL,Proveedores locales (GRI 204-1),Proveedores locales,¿Cuál es la cantidad de proveedores nacionales o locales y cantidad de compras anuales,Sí,"proveedor, proveedores, local",3,7,"11, 12, 47, 67, 94, 96, 101, 140, 146, 152, 173, 176, 177, 180, 192, 203, 215, 218, 226, 227, 233, 235, 239, 240, 248","informe gestión responsable 2020 • 94datos relevantes de la cadena de suministro (gri 204-1) en 2020 el 87% de los valores adjudicados fue a empresas constituidas en colombia. de éstas, el 52,1% son de servicios y obras, el 18,3% de infraestructura y redes, el 14,1% de soluciones b2b/b2c, el 7,3% de mobility, 7% de sistemas de información y 1,2% de publicidad y marketing. proveedores extranjero 292 local 41.742 total 2.034 año cantidad 2018 142 2019 210 2020 170hacen parte del modelo de aliados 45 empresas, de las cuales cinco de ellas corresponden a agentes comerciales. los aliados son proveedores que tienen relación directa con el cliente, como lo son el equipo de instaladores y el de atención al cliente (centros de experiencia, call center, entre otros). estos alia...",128
SOCIAL,Formación y capacitación (GRI 404-1),Formación y capacitación,¿Cuál es la cantidad de horas de formacion de los trabajadores,Sí,"horas, formación, horas de formación",3,12,120,informe gestión responsable 2020 • 118resultados enps por direcciones horas de formación promedio por sexo: 2019 2020 compañía 83 86 secretaría general 85 97 dirección comercial y atención clientes 87 87dirección proyecto transformación 73 88dirección cro 8886 dirección asuntos públicos y regulatorios 74 86dirección auditoría interna intervención e inspección 93 92 dirección personas y administración 90 92gerencia seguridad corporativa 9280 dirección digitalización y operaciones 898...,65
GOBERNANZA,Anticorrupción (GRI 205),Anticorrupción,Colaboradores capacitados en anticirrupcion,Sí,"formación, integridad, transparencia",3,17,"31, 138","ntereses, establecido en la normativa interna de conflictos de interés. para la gestión de los reportes de conflictos de intereses, la compañía cuenta con una herramienta informática específica, que permite su accesibilidad, control y seguimiento estructurado, a través de un flujo de trabajo automático ( workﬂow ). igualmente, se cuenta con adecuadas políticas y procedimientos, planes de formación, comunicación y concienciación, así como de un seguimiento en la matriz de riesgos de integridad y un régimen de sanciones conforme a las políticas del grupo y conforme a la legislación colombiana en materia laboral, que aseguran la transparencia en los procesos de la compañía. adicionalmente, la compañía cuenta con una política relativa a la participación de directivos y gerentes del...",119
GOBERNANZA,Ética y cumplimiento (GRI 206),Ética y cumplimiento,Colaboradores capacitados en etica,Sí,"cumplimiento, políticas, legal",3,12,"142, 170","informe gestión responsable 2020 • 140modelo preventivo de cumplimiento bajo el marco de prevención de la función de cumplimiento, se avanzó en la implementación del modelo preventivo de cumplimiento, que tiene como objetivo el aseguramiento del entorno de control para la observancia de las obligaciones legales, en relación a la gestión de elementos como organización y gobierno, políticas y procedimientos, procesos de formación, informes de seguimiento y...",67
